nid,title,event_slug,speakers,description,field_embedded_multimedia_value,bio,date,time_start,time_end,video,slides
3155,Lean User Experience - estrategias para creación de experiencia de usuario con métodos ágiles,2013h1,Víctor M. González,"<p>En esta plática se discutirán ideas claras y prácticas para combinar lo mejor de las técnicas de Diseño Centrado en la Experiencia de Usuario (UX) con métodos de desarrollo ágil de productos digitales y software. En particular se revisa Scrum y se discuten formas de adaptarlo. El contenido es relevante para ingenieros de software, analistas, líderes y gestores de proyectos que desean mejorar la usabilidad de sus productos y servicios a través de técnicas de diseño que identifiquen necesidades reales del usuario y produzcan propuestas de alta innovación.</p>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/36divw0B6zw"" frameborder=""0"" gesture=""media"" allow=""encrypted-media"" allowfullscreen></iframe>","<p>Víctor M. González (Ph.D., MSc, Cert. Eng) es un consultor y experto internacional en interacción humano-computadora y en el diseño de experiencias de usuario óptimas para productos interactivos digitales. Es el fundador y director de Sperientia [studio + lab], una agencia consultora que ayuda a empresas de México y América Latina a diseñar y crear mejores productos y servicios digitales. Con base en la Ciudad de México, atiende organizaciones en sectores tales como comercio minorista, logística, salud, gobierno, telecomunicaciones y finanzas. Ha ocupado cargos como profesor e investigador en la Universidad de Manchester (Reino Unido), la Universidad del Azuay (Ecuador) y la Universidad de California, en Irvine (EEUU). Es profesor del Departamento de Ciencias de la Computación en el Instituto Tecnológico Autónomo de México (ITAM) y enseña innovación, pensamiento de diseño, diseño de productos y gestión estratégica de tecnología. <a href=""http://www.sperientia.com/"">www.sperientia.com</a></p>
<ul>
 <li><a href=""https://twitter.com/vmgyg?lang=es"">Twitter</a></li>
 <li><a href=""https://www.linkedin.com/in/victor-m-gonzalez/"">Linkedin</a></li>
 <li><a href=""https://medium.com/@victormgonzalez"">Medium</a></li>
</ul>",2013-02-27 12:00:00,2013-02-27 12:00,2013-02-27 13:00,https://youtu.be/36divw0B6zw,
3162,Grafos: conceptos y aplicaciones,2012,,"La creación de modelos matemáticos es indispensable para plasmar el comportamiento del mundo real, en particular en el área de las ciencias computacionales. Los teoría de grafos, ofrece una herramienta que permite describir y resolver problemas en diferentes áreas del conocimiento: transporte, química, comunicación e Internet.

Ésta plática nos describen los conceptos básicos de la teoría de grafos, identificando sus características y elementos, algunos algoritmos básicos para posteriormente aplicarlos para el modelado de problemas simples. A partir de ellos se explican con mayor detalle su aplicación para resolver problemas de cálculo de camino más corto, coloreo de mapas, reconocimiento de patrones.","<iframe src=""https://player.vimeo.com/video/39199535"" width=""640"" height=""480"" frameborder=""0"" portrait=""0"" byline=""0"" title=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",,2012-03-12 12:00:00,2012-03-12 12:00:00,2012-03-12 13:00:00,,
3163,¿Por qué las empresas más exitosas serán las que utilicen lean y ágil?,2012,,La crisis económica mundial ha afectado de manera seria a muchos países latinoamericanos. En éste keynote indicaré porque lean y ágil es una excelente ruta para mejorar sus empresas de manera efectiva y competir a nivel internacional en diversos mercados.,"<iframe src=""https://player.vimeo.com/video/39121720"" width=""640"" height=""480"" frameborder=""0"" portrait=""0"" byline=""0"" title=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",,2012-03-12 12:00:00,2012-03-12 12:00:00,2012-03-12 13:00:00,,
3164,Rompiendo Paradigmas: Node.js+jQuery+Stylus+Jade+NoSQL(CouchDB || MongoDB),2012,,"Actualmente estamos viviendo tiempos muy interesantes, Node.js del lado del servidor esta teniendo una explosión impresionante que esta revolucionando el desarrollo web, literalmente podemos decir que javascript esta en todos lados!!XD, esto es genial porque tenemos a javacript en el server con Node.js, en el cliente y como backend de todos los datos(MongoDB, CouchDB, etc.) TODO EN UN MISMO IDIOMA. Jade y Stylus tienen como objetivo simplificar html y css, es decir hacer menos con mas!!, jQuery para los widgets, algunos hacks demasiado utilizados hoy en día, y para maquillar nuestro website. Todo esto mas algunas sorpresas que tengo preparadas(por ejemplo el alojamiento de Cloudfoundry para nuestros laboratorios con Node.js), creo que sera muy útil para toda nuestra gente de latinoamerica, ya que necesitamos aprender algo nuevo todos los dias, para tener un mayor mercado, nuevas oportunidades, ser mejores profesionales, y divertirnos con lo que mas nos apasiona!!!XD.","<iframe src=""https://player.vimeo.com/video/39235642"" width=""640"" height=""480"" frameborder=""0"" portrait=""0"" byline=""0"" title=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",,2012-03-12 12:00:00,2012-03-12 12:00:00,2012-03-12 13:00:00,,
3165,"Lean Startup: Construye, mide, aprende.",2012,,"""The Lean Startup method teaches you how to drive a startup-how to steer, when to turn, and when to persevere-and grow a business with maximum acceleration.”
- Eric Ries

La metodología de Lean Startup sigue cinco principios básicos:
1. Los emprendedores están en todos lados
2. Emprendimiento es administración
3. Aprendizaje validado
4. Contabilidad de innovación
5. Construye-mide-aprende

Siguiendo estos principios muchos de los problemas más comunes al emprender pueden ser amortiguados. A diferencia de la noción común, existen procesos que podemos seguir para acelerar el proceso de aprendizaje y encontrar un modelo de éxito a tiempo. 

En esta charla hablaré de los conceptos básicos de la metodología Lean Startup y los proceso que podemos realizar para no fallar en el proceso de experimentación y aprendizaje al momento de emprender.","<iframe width=""640"" height=""480"" src=""https://www.youtube.com/embed/q0NBgmjjGYE?rel=0"" frameborder=""0"" allowfullscreen></iframe>",,2012-03-12 12:00:00,2012-03-12 12:00:00,2012-03-12 13:00:00,https://youtu.be/q0NBgmjjGYE,
3166,Dale un giro a tu carrera y sé un desarrollador SharePoint,2012,,En esta sesión veremos que necesita un programador .NET para convertirse en un programador que construye soluciones de colaboración bajo plataforma SharePoint 2010. Conoce las distintas tecnologías y herramientas disponibles en Visual Studio 2010 para personalizar SharePoint de una forma flexible y administrada. Hoy más que nunca en la industria de TI se necesitan desarrolladores SharePoint. No te pierdas la oportunidad de conocer que se requiere para convertirse en uno.,"<iframe src=""https://player.vimeo.com/video/39226586"" width=""640"" height=""480"" frameborder=""0"" portrait=""0"" byline=""0"" title=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",,2012-03-12 12:00:00,2012-03-12 12:00:00,2012-03-12 13:00:00,,
3259,Desarrollo de aplicaciones Web con ZanPHP,2013h1,,"<p><strong>ZanPHP</strong> es un framework de desarrollo ágil de aplicaciones Web escrito en PHP5 el cual utiliza distintos patrones de diseño y las mejores prácticas para crear aplicaciones más rápidamente y con buena calidad de código. ZanPHP tiene ya más de 1 año de ser Software libre y durante este año hemos actualizado, mejorado (la versión actual del framework es la v.2.7.1) y además difundido el proyecto a nivel internacional tanto en países de habla hispana como países de otras lenguas, el proyecto ha crecido y se ha mantenido como uno de los más importantes desarrollos de este rubro en México y queremos demostrar que con trabajo y esfuerzo pueden sobresalir grandes proyectos en México.</p>","<p><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/b0b6zdanxVU"" width=""560""></iframe></p>",,2013-02-27 12:00:00,2013-02-27 12:00,2013-02-27 13:00,https://youtu.be/b0b6zdanxVU,
3276,Chronicle of a SOA Foretold,2013h1,,"<p>Rails is no longer the new kid on the block. Basecamp was launched on February 4, 2004 and the '1 minute blog video' is a distant memory for many Ruby developers. Most new comers dont know Chunky Bacon and Why the lucky stiff!</p>

<p>Rails has just gone through its awkward teen years full of drama and tears. Like any teenager, Rails was influenced by a lot of external forces.</p>

<p>Rails 4 is about to launch and it’s more than clear what the path is; SOA, such a grown up, scary acronym, right? One of those buzz words that cool Ruby developers hated. But guess what? Ruby apps are now big and in the enterprise whether DHH likes it or not. The silver lining is that Ruby is still very relevant and way better suited for SOA's and we'll see why.</p>","<p><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/qblrFlFdKek"" width=""560""></iframe></p>",,2013-02-27 12:00:00,2013-02-27 12:00,2013-02-27 13:00,https://youtu.be/qblrFlFdKek,
3283,Escribiendo software con agilidad,2013h1,Javier Cervantes,"<p>Todo el mundo dice ser ""ágil"" en la actualidad, pero lo que parece ser divertido y genial al principio puede llegar a ser un verdadero desastre si no estas preparado para ello.<br />
<br />
Como desarrolladores de software nadie nos dice cómo hacerlo y la entrega de valor con un equipo autodirigido en iteraciones cortas, no es algo fácil cuando se tiene que diseñar un sistema flexible, sistema robusto, maduro y probado.<br />
<br />
Esta charla tratará de reunir los diferentes enfoques sobre cómo codificar con agilidad sin perder la cabeza.<br />
<br />
Temas</p>

<ul>
 <li>Introducción a la ágil</li>
 <li>Cuestiones y problemas comunes</li>
 <li>Practicas XP que nadie toma en serio</li>
 <li>Métodos de práctica</li>
 <li>Disciplinas</li>
 <li>Patrones de diseño, SOLID, Reglas de diseño simple</li>
 <li>No es fácil, pero es necesario</li>
</ul>","<p><iframe allowfullscreen="""" frameborder=""0"" height=""360"" src=""https://www.youtube.com/embed/YdlwS-s3m9U"" width=""640""></iframe></p>","<p>Cuenta con 8+ años de experiencia, le gusta resolver problemas interesantes con la tecnología que utilizan diferentes herramientas y lenguajes. Le gusta compartir lo que ha aprendido siendo un miembro activo de las comunidades locales y hablando en conferencias.</p>

<ul>
 <li><a href=""https://twitter.com/solojavier?lang=es"">Twitter</a></li>
 <li><a href=""https://www.linkedin.com/in/solojavier/"">Linkedin</a></li>
 <li><a href=""https://github.com/solojavier"">GitHub</a></li>
</ul>",2013-02-27 12:00:00,2013-02-27 12:00,2013-02-27 13:00,https://youtu.be/YdlwS-s3m9U,
3292,Gestión Ágil de Proyectos de Software en micro-empresas,2013h1,,"En México la micro-industria ocupa al 45.7% del personal ocupado total, en el sector servicios participa con el 41.2% del personal ocupado y generó el 22.2% de los ingresos del sector. A pesar de la relevancia que posee la micro-empresa, la mayoría de los sistemas de gestión de calidad y normativas van enfocados a la pequeña, mediana y gran empresa.

Las micro-empresas constituidas por hasta 2 personas ocupan 3’514,416 personas, mientras que aquellas conformadas por 3 hasta 5 personas ocupan 3’193,781 personas registrando está última un crecimiento de 99.3% en los últimos 10 años, siendo la estratificación censal que mayor crecimiento ha tenido.

Tener una adecuada gestión es un factor clave para poder consolidar el crecimiento de una micro-empresa, al fortalecer su competitividad y asegurar la calidad de sus desarrollos.","<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/zKzBe8KKEPo"" frameborder=""0"" allowfullscreen></iframe>",,2013-02-27 12:00:00,2013-02-27 12:00,2013-02-27 13:00,https://youtu.be/zKzBe8KKEPo,
